position,link,title,source,date,snippet,thumbnail
3,https://www.moneycontrol.com/news/business/real-estate/raymond-shares-hit-all-time-high-after-being-selected-as-preferred-developer-for-bandra-real-estate-project-12744972.html,Raymond shares hit all-time high after being selected as 'preferred developer' for Bandra real estate...,Moneycontrol,1 month ago,"The stock price was trading at Rs 2572, up by 4 percent on June 10 at 14:26 
pm on NSE. The shares had touched an all-time high of Rs 2685,...",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c1916c25a25bf6ddb0781978852d086d2d7a593a0c2e4d2824f.jpeg
4,https://www.hindustantimes.com/real-estate/anant-ambani-radhika-merchant-wedding-all-that-you-need-to-know-about-the-venue-bandra-kurla-complex-101720757984616.html,"Anant Ambani, Radhika Merchant wedding: All that you need to know about the venue Bandra Kurla Complex",Hindustan Times,3 weeks ago,"Anant Ambani and Radhika Merchant's wedding is taking place at Mumbai's Jio 
World Convention Centre located in the business district Bandra...",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c19decbfd636054a0b179693a3b189df11a012c9913e037d1c0.jpeg
5,https://www.hindustantimes.com/real-estate/dilip-kumar-s-bungalow-redevelopment-apco-infratech-pvt-ltd-buys-rs-155-crore-sea-view-apartment-in-mumbais-pali-hill-101721891339139.html,Dilip Kumar’s bungalow redevelopment: Apco Infratech Pvt Ltd buys ₹155 crore sea-view apartment in Mumbai's Pali Hill,Hindustan Times,1 week ago,"The triplex apartment in Pali Hill was sold at the rate of ₹1.62 lakh per 
sq ft on total agreement value. The plot earlier housed Dilip...",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c194a0a40b3e50d6d044a58b9789d085ef8d96e5dfddfb9d8d0.jpeg
6,https://www.hindustantimes.com/entertainment/bollywood/r-madhavan-buys-new-apartment-in-bkc-worth-17-5-crore-check-out-pictures-of-the-property-101721904376597.html,R Madhavan buys new apartment in BKC worth ₹17.5 crore. Check out pictures of the property,Hindustan Times,1 week ago,"R Madhavan has acquired a property which is located in Signia Pearl. It 
provides expansive living spaces and state-of-the-art facilities.",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c194022c17b36f22273d228293440292428ef9cd7ce2d5987cb.jpeg
7,https://www.hindustantimes.com/real-estate/raymond-realty-launches-housing-project-in-bandra-mumbai-with-a-revenue-potential-of-rs-2-000-cr-101708437980244.html,"Raymond Realty launches project in Bandra with ₹2,000 cr revenue potential",Hindustan Times,"Feb 20, 2024","The housing project by Raymond Realty in Bandra will offer a mix of 2, 3, 
and 4 BHK apartments.",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c19c957f36644ec0fb32bc03a4943bc0429729d972130ff413d.jpeg
8,https://www.hindustantimes.com/real-estate/office-buildings-in-mumbai-s-bandra-kurla-complex-command-higher-prices-than-manhattan-101710769667301.html,Office buildings in Mumbai’s Bandra Kurla Complex command higher prices than Manhattan,Hindustan Times,"Mar 19, 2024","Uday Kotak's response to the New York office distress deal underscores the 
impact of COVID on the commercial real estate landscape in the US...",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c192e7d184779c9a56e06eb1d595b59d0d6f9dfab34c6e4817a.jpeg
9,https://www.hindustantimes.com/real-estate/priyanjali-mariwala-buys-apartment-in-bandra-kurla-complex-in-mumbai-for-more-than-65-crore-101720182950220.html,Marico's Priyanjali Mariwala buys luxury apartment in Bandra Kurla Complex in Mumbai for more than 65 crore,Hindustan Times,1 month ago,"Priyanjali Mariwala, who leads the ASCENT Foundation, a not-for-profit firm 
of Harsh Mariwala, chairman of Marico, has bought the flat in...",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c19be7dc6f3ffd8092f5583a2f7ac74a1c1385f79c0bd82c50f.jpeg
10,https://www.hindustantimes.com/real-estate/tripti-dimri-of-animal-fame-purchases-bungalow-in-mumbais-bandra-for-rs-14-crore-101717762228495.html,Tripti Dimri of Animal fame buys bungalow in Mumbai's Bandra for ₹14 crore,Hindustan Times,"Jun 7, 2024","Bollywood actor Tripti Dimri has bought a ground-plus-two storey bungalow, 
off Carter Road in Bandra west area of Mumbai, for ₹14 crore.",https://serpapi.com/searches/66afb6745c56060c0bec30c0/images/377ee540d3d24c190cb9a62b3711d42a2a79d93b344acea2ed3bba75006c6c09.jpeg
1,https://www.rprealtyplus.com/interviews/bandra-east-a-prudent-investment-opportunity-115151.html,Bandra East A Prudent Investment Opportunity,Realty Plus Magazine,"May 15, 2024","Rakesh Setia, President – Sales & Marketing, Rustomjee Group elaborates on 
Bandra East being a prudent investment opportunity with access to 
affordable luxury.",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa0c6364e0ae16e684673928c0f4d3c54f3d1eb48028498db89.jpeg
2,https://www.rprealtyplus.com/news-views/bandra-redevelopment-project-to-boost-raymond-realtys-real-estate-portfolio-115500.html,Bandra Redevelopment Project To Boost Raymond Realty’s Real Estate Portfolio,Realty Plus Magazine,1 month ago,"The real estate division of Raymond has announced its selection as the 
“Preferred Developer” for the redevelopment of MIG VI CHS Ltd, located in 
Bandra East.",https://serpapi.com/searches/66afb677a74fe0705f6b0fba/images/85f1cb9a53f08fa00f9010a812d26319af18c78b9946d2433c0cdbc6454a84ae.jpeg
