position,link,title,source,date,snippet,thumbnail
8,https://www.aninews.in/news/business/business/shapoorji-pallonji-real-estate-announces-bkc-9-a-project-financed-by-wsb-fund-ii20240219173416,"Shapoorji Pallonji Real Estate Announces BKC 9, a Project Financed by WSB Fund II",ANI News,"Feb 19, 2024","ANI | Updated: Feb 19, 2024 17:34 IST. ANI News Join our Whatsapp channel · 
NewsVoir. Mumbai (Maharashtra) [India], February 19: After the resounding...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea3188346d6e9af45fffc308eb4d0ea407a0763d322e05148f2dd.jpeg
9,https://www.rprealtyplus.com/realty-spotlight/suntecks-new-luxury-projects-at-nepean-sea-bandra-bandstand-in-mumbai-113834.html,Sunteck's New Luxury Projects At Nepean Sea & Bandra- Bandstand In Mumbai,Realty Plus Magazine,"Jan 30, 2024","Sunteck Realty Limited, a Mumbai-based premium luxury real estate 
developer, is set to enter two of Mumbai's most exclusive and 
sought-after...",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea318d28a1f21483969a8e4e734ef34b10f426d71309d6f692a63.png
10,https://housing.com/news/inside-sachin-tendulkars-lavish-homes-in-mumbai/,Inside Sachin Tendulkar’s lavish home in Mumbai,Housing,"May 7, 2024","All you need to know about master-blaster Sachin Tendulkar and his wife 
Anjali Tendulkar's homes in Mumbai's Bandra west and BKC.",https://serpapi.com/searches/66afbe9aea1442f033889945/images/f3ceadc945fea3183a78cad2ed9fa4a09e9ed7f62ee2cc969e9731191e77fd41.jpeg
1,https://housing.com/news/puravankara-to-redevelop-residential-project-in-pali-hill-bandra/,"Puravankara to redevelop residential project in Pali Hill, Bandra",Housing,"Apr 24, 2024","The residential society to be redeveloped is spread slightly over two and a 
half acre. Check out the details.",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe818c8cc6e6505088ce289659e93a53824df0949da150833eb6e.jpeg
2,https://housing.com/news/inside-sushant-singh-rajputs-house/,Sushant Singh Rajput House in Bandra,Housing,"Dec 4, 2023","Sushant Singh Rajput residence was a beautiful Bandra, Mumbai apartment. In 
this article, we under details of Sushant Singh Rajput's house.",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe818a3c57b564db804d5fc4bacd23311ff81f67a7b75fb8213d1.jpeg
3,https://www.constructionweekonline.in/projects-tenders/shapoorji-pallonji-real-estate-announces-bkc-9-a-project-financed-by-wsb-fund-ii,"Shapoorji Pallonji Real Estate announces BKC 9, a project financed by WSB Fund II",Construction Week India,"Feb 6, 2024","Anticipates revenue exceeding Rs 250 crore. Shapoorji Pallonji Real Estate 
announces BKC 9, a project financed by WSB Fund II. Bandra East...",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe8186109c42b41e0d70b318a38a7c08dda1d81869a627f763f2f.jpeg
4,https://housing.com/news/shapoorji-pallonji-raises-rs-55-cr-to-finance-new-project-in-mumbai/,Shapoorji Pallonji raises Rs 55 cr to finance new project in Mumbai,Housing,"Feb 6, 2024","Shapoorji Pallonji Real Estate raises Rs 55 crore to finance new luxury 
housing project in Mumbai; BKC 9 at Bandra East will offer 92...",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe818473aec068188a24f1ac3a9319d1a4f82b845c8ab0b540fe7.jpeg
5,https://timesofindia.indiatimes.com/city/mumbai/salman-khan-to-build-19-floor-hotel-in-bandra/articleshow/100367077.cms,Salman Khan to build 19-floor hotel in Bandra,Times of India,"May 20, 2023","The city's lucrative real estate market has always been a safe haven for 
Bollywood bigwigs to invest their millions and buy marquee...",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe8185634931f6ce2e2528463bf41971ef5d31258f72cf261a79f.jpeg
6,https://housing.com/news/msrdc-eyes-rs-8000-cr-from-development-of-bandra-reclamation-land/,"MSRDC eyes Rs 8,000 cr from Bandra Reclamation land development",Housing,"Jan 11, 2024","This land parcel is slated for development, and MSRDC is actively seeking a 
construction/development agency to lead this project.",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe8189dafaab05c6ad4a470e0948b488126dfd91be04c949de215.jpeg
7,https://housing.com/news/mumbai-metro-line-3/,"Mumbai Metro Line 3: Aqua Line route, stations, map",Housing,1 month ago,"Mumbai Metro Line 3 is also known as the Aqua Line. Check out details, such 
as its route, stations, etc., in this guide.",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe8185015aee392ac27933c8d6ff4f9807e81b0ba54dce8683bbc.jpeg
8,https://www.moneycontrol.com/news/business/real-estate/raymond-realty-to-launch-6-lakh-sqft-housing-project-in-mumbai-by-fy24-end-ceo-harmohan-sahni-11235031.html,"Raymond Realty targets Rs 2,000 crore revenue from Mumbai project launch by FY24 end: CEO Harmohan Sahni",Moneycontrol,"Aug 22, 2023","Raymond Realty plans to launch a premium 2,3,4 BHK apartments project in 
the Bandra micro-market in Mumbai and is targeting a topline of Rs...",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe818d7845f5796733c9d7916ce72c8583468799cbb94cb1f8c6f.jpeg
9,https://www.timesnownews.com/mumbai/atal-setu-to-bandra-worli-sea-link-top-engineering-marvels-in-mumbai-article-106747459,Atal Setu to Bandra Worli Sea Link: Top Engineering Marvels in Mumbai,Times Now,"Jan 12, 2024","Prime Minister Narendra Modi inaugurated the Mumbai Trans Harbour Link 
(MTHL) on January 12, heralding a new era for Mumbai's real estate...",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe818a4209ad5b67299be6768cec28ddfe82eee914fdc2267f3ce.jpeg
10,https://www.propnewstime.com/getdetailsStories/ODE2NQ==/paradigm-realty-takes-up-redevelopment-projects-bandra-and-kandivali-worth-over-inr-4-500-crores,"Paradigm Realty takes up redevelopment projects Bandra and Kandivali worth over INR 4,500 crores",Prop News Time,1 month ago,"Paradigm Realty initiates a transformative INR 4500 crore redevelopment 
project in Mumbai's Bandra and Kandivali, upgrading 11 housing...",https://serpapi.com/searches/66afbe9b95bf92fcdeff43c9/images/2961527e649fe8184df502d5b61b1241dffd57f611de7a208730174216dda755.jpeg
1,https://housing.com/news/sonakshi-sinha-buys-bandra-apartment-for-rs-11-crore/,Sonakshi Sinha buys Bandra apartment for Rs 11 crore,Housing,"Sep 18, 2023","Spread over 4200 sqft, Sonakshi Sinha's new sea-facing apartment is on the 
26th floor of 81 Aureate, Bandra Reclamation, Bandra (W).",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b9643b9bad8f1ef9ccd60ad186a15baec71316b03f2001127bf.jpeg
2,https://timesproperty.com/news/post/corporate-executives-buying-houses-in-bandra-blid3822,Look at the Latest Sale of Properties in Bandra,Times Property,"Feb 5, 2023","1. Directors of DV AUTO FINANCE PRIVATE LIMITED Yuti Kunal Jhaveri and 
Kunal Ashok Jhaveri have purchased a unit in the Imperial Towers by...",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b9613631f44ea55e61671ad143672601690f43c4f23e097be03.jpeg
3,https://www.moneycontrol.com/news/business/the-rise-and-rise-of-bandra-mumbais-most-vibrant-piece-of-real-estate-5861851.html,The rise and rise of Bandra: Mumbai’s most vibrant piece of real estate,Moneycontrol,"Sep 20, 2020","Mumbai's best success story of the last decade, Bandra is up against the 
coronavirus that threatens to alter the dynamics of city living.",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b9644aa7a9f2b9b0b739b535ccba4b31c46fb99a039fe985bf5.jpeg
4,https://www.hindustantimes.com/cities/mumbai-news/ranveer-singh-to-become-srk-s-neighbour-finalises-119-crore-real-estate-deal-101657457498377.html,"Ranveer Singh to become SRK’s neighbour, finalises ₹119 crore real estate deal",Hindustan Times,"Jul 10, 2022","This new deal will not only give them an uninterrupted view of the Arabian 
Sea from Bandstand, it will also make them Bollywood superstar...",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b9643b60bdbf2ab555a23e0cc8c97eff36164298e9b94223cf1.jpeg
5,https://www.livemint.com/money/personal-finance/sonam-kapoor-s-flat-sale-sparks-discussion-if-real-estate-gives-return-does-it-11672944274981.html,Sonam Kapoor's Bandra flat sale sparks discussion on whether real estate gives return. Does it? | Mint,mint,"Jan 6, 2023","Bollywood actress Sonam Kapoor who bought her Bandra-Kurla Complex home in 
Mumbai in 2015 sold it on December 29, 2022, for over ₹32 crore.",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b962e4b1d495c249d077811268937dd230a0202035537ad184b.jpeg
6,https://www.moneycontrol.com/news/business/real-estate/luxury-homes-ashar-group-to-redevelop-bungalow-of-bollywood-superstar-dilip-kumar-in-mumbais-bandra-eyes-rs-850-crore-revenue-11083911.html,"Luxury homes: Ashar Group to redevelop bungalow of Bollywood superstar Dilip Kumar in Mumbai’s Bandra,...",Moneycontrol,"Aug 2, 2023","The exclusive luxury homes in Mumbai's upmarket Pali Hill will target high 
networth individuals such as film personalities, sports people...",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b96b2a1a8587e627869e5c5ca6338d7eb1119652e98e077e047.jpeg
7,https://indianexpress.com/article/cities/mumbai/bollywood-actor-alia-bhatt-rs-37-8-crore-flat-bandras-pali-hill-8574471/,Bollywood actor Alia Bhatt bought Rs 37.8-crore flat in Bandra’s Pali Hill,The Indian Express,"Apr 25, 2023","The actor purchased the property from Gold Street Mercantile Company Pvt 
Ltd and paid a stamp duty of Rs 2.26 crore.",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b9699b6e2cc7dc7d3846ac8ae1feccde0250632ebbb6de010f3.jpeg
8,https://timesofindia.indiatimes.com/city/mumbai/film-producer-buys-3-pali-hill-flats-for-rs-103cr/articleshow/102259143.cms,Mumbai film producer buys 3 Pali Hill flats for Rs 103 crore,Times of India,"Jul 31, 2023","In a big-ticket deal, film producer and director Dinesh Vijan of 'Stree' 
fame has booked three apartments in an under-construction...",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b964fc8e3730567508b0a2e2ae7dae7f310075086cd1edc4602.jpeg
9,https://www.timesnownews.com/entertainment-news/jacqueline-fernandez-buys-new-house-in-mumbais-bandra-watch-video-of-plush-property-bollywood-news-article-101430389,Jacqueline Fernandez Buys New House In Mumbai's Bandra. Watch Video Of Plush Property,Times Now,"Jul 2, 2023","Bollywood actress Jacqueline Fernandez has reportedly bought a new house in 
Mumbai's plush locality Bandra West. The video of the luxurious...",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b9674f539a883e348ffac96e91c0a8f07906bb3023b2f5b91bc.jpeg
10,https://www.moneycontrol.com/news/business/real-estate/tata-communications-leases-office-space-to-hinduja-realty-in-bandra-kurla-complex-in-mumbai-10916541.html,Tata Communications leases office space to Hinduja Realty in Bandra Kurla Complex in Mumbai,Moneycontrol,"Jul 6, 2023","The Hinduja Group's property arm, Hinduja Realty Ventures, has leased an 
office space from Tata Communications Limited in what is perhaps...",https://serpapi.com/searches/66afbe9c5c1059140ac26662/images/196903f9c0b81b96918bcdb69a782ebdf86f927fb20a7cd5e4b2a0924dd6c7b7.jpeg
1,https://housing.com/news/dinesh-vijan-buys-apartments-in-rustomjee-parishram-for-rs-103-crore/,Dinesh Vijan buys duplex apartment in Rustomjee Parishram for Rs 103 crore,Housing,"Aug 1, 2023","Located on the 15th and 16th floor of the under-construction building, the 
property has a carpet area of 7791 sqft.",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81e4eda55a7f07b0288799fb5aeebe11513179876360cbfc91e.jpeg
2,https://housing.com/news/alia-bhatts-production-house-buys-property-in-bandra/,Alia Bhatt’s production house buys property in Bandra,Housing,"Apr 25, 2023","Registered on April 10, 2023, the deed attracted stamp duty of Rs 2.26 
crore for the Bandra property.",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81e9a760dc709b1e8c4eb9d29f0242cc292a8ba6a8fdcf712e8.jpeg
3,https://housing.com/news/karan-johar-house/,Inside Karan Johar’s lavish duplex in Mumbai,Housing,"Jul 14, 2023","The house, located at Bandra's Carter Road, has a sprawling area of 8000 
sqft.",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81e01f19676282a832ade66143350da92aacb35b034db847b40.jpeg
4,https://housing.com/news/salman-khans-family-to-develop-19-storey-hotel-in-bandra/,Salman Khan’s family to develop 19-storey hotel in Bandra,Housing,"May 22, 2023","May 22, 2023: Actor Salman Khan's family plans to build a 19-storey hotel 
at Carter Road, Bandra, Mumbai, as mentioned in a TOI report.",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81e943f96602ae107e31a6880d182843aaa68ec100aad0e2753.jpeg
5,https://www.bollywoodlife.com/news-gossip/alia-bhatt-makes-big-investments-in-bandra-real-estate-gifts-sister-shaheen-flats-worth-rs-7-68-crores-entertainment-news-2411387/,Alia Bhatt makes big investments in Bandra real estate; gifts sister Shaheen flats worth Rs 7.68 crores,Bollywood Life,"Apr 24, 2023","Alia Bhatt is known to be a shrew investor. The actress has big investments 
in Bandra real estate as per reports, and also gifted sister...",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81e5f5ad3c001ad7febf6ddc70c00792de82fcb0d5b4d3e4526.jpeg
6,https://www.moneycontrol.com/news/business/real-estate/saif-ali-khan-rents-apartment-for-rs-3-5-lakh-in-mumbais-bandra-7335411.html,Saif Ali Khan rents apartment for Rs 3.5 lakh in Mumbai’s Bandra,Moneycontrol,"Aug 15, 2021","The monthly rent for the first year is Rs 3.5 lakh, Rs 3.67 lakh for the 
second year and Rs 3.87 to August 19, 2024, the registration...",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81eca80967c646b7404b79f8f43d7f7e8f6bb0a476ae79b6fba.jpeg
7,https://housing.com/news/bandra-west-mumbais-first-lifestyle-suburb/,Bandra west: Mumbai’s first lifestyle suburb,Housing,"Nov 24, 2022","Is Bandra west a posh locality? Yes, the lifestyle and amenities in and 
around Bandra west and price of properties in this locality, make it a...",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81e8f36a480988bc03896ddd10ae7ba6907bc72cd5c9f55be84.jpeg
8,https://housing.com/news/a-house-to-match-his-personality-arjun-kapoors-pride-and-joy/,Arjun Kapoor house: A match to his personality,Housing,"Jul 21, 2022","Arjun Kapoor house: Know more about Arjun Kapoor house in Juhu and the 
property he sold in Bandra recently.",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81ef56fc4ace53fbb4643515942de7ff7c6cbfa87f5d8d8006b.jpeg
9,https://housing.com/news/farhan-akhtar-home/,Farhan Akhtar’s home: A combination of luxury and aesthetics,Housing,"Dec 27, 2021","Some key aspects of Farhan Akhtar's home include: Farhan Akhtar house 
Bandra is named 'Vipassana'. It is situated along Bandra Bandstand and...",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81efe2ac25ca6efd8d2a3b73b69b6eb68b29600e482f8670284.jpeg
10,https://timesofindia.indiatimes.com/tv/news/hindi/karan-kundrra-buys-a-flat-for-14-crore-in-bandra-exclusive/articleshow/91696239.cms,Karan Kundrra buys a flat for ₹14 crore in Bandra - Exclusive!,Times of India,"May 21, 2022","... have reason to celebrate, as Karan has fulfilled a lifelong dream. The 
young star has just bought a swanky new apartment in Bandra for a...",https://serpapi.com/searches/66afbe9f116a55a0c97c79ee/images/2329a6dab990b81eb5bf109209c5e10acfc08b99fca215f9615e61c7900b9e1c.jpeg
1,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajputs-bandra-home-finds-prospective-tenants-after-over-2-5-years/articleshow/96770549.cms,Sushant Singh Rajput’s Bandra home finds prospective tenants after over 2.5 years,Times of India,"Jan 6, 2023","Sushant Singh Rajput's sea-facing house, Mont Blanc, on Carter Road in 
Bandra West, which has been unoccupied since his demise on June 14,...",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830c2afe553cb36e6098b0490089361b36635614da29f155b25.jpeg
2,https://housing.com/news/dinesh-vijan-buys-apartments-in-rustomjee-parishram-for-rs-103-crore/,Dinesh Vijan buys duplex apartment in Rustomjee Parishram for Rs 103 crore,Housing,"Aug 1, 2023","Located on the 15th and 16th floor of the under-construction building, the 
property has a carpet area of 7791 sqft.",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830c35af08b98d423d7e45bca88535bf16256c17448133422f0.jpeg
3,https://housing.com/news/karan-johar-house/,Inside Karan Johar’s lavish duplex in Mumbai,Housing,"Jul 14, 2023","The house, located at Bandra's Carter Road, has a sprawling area of 8000 
sqft.",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830dae2e379b997b3e7aa88b9ed7b0db1a1ab30b01d02348be3.jpeg
4,https://housing.com/news/alia-bhatts-production-house-buys-property-in-bandra/,Alia Bhatt’s production house buys property in Bandra,Housing,"Apr 25, 2023","Registered on April 10, 2023, the deed attracted stamp duty of Rs 2.26 
crore for the Bandra property.",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830d5c709c4e45b4de2bb2df5ae7527f3969858805ec80d0a59.jpeg
5,https://housing.com/news/salman-khans-family-to-develop-19-storey-hotel-in-bandra/,Salman Khan’s family to develop 19-storey hotel in Bandra,Housing,"May 22, 2023","May 22, 2023: Actor Salman Khan's family plans to build a 19-storey hotel 
at Carter Road, Bandra, Mumbai, as mentioned in a TOI report.",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830aed8c6cbdfbc4cbde7c81dc3cbf9f5809907c33bcefc5e2d.jpeg
6,https://www.bollywoodlife.com/news-gossip/alia-bhatt-makes-big-investments-in-bandra-real-estate-gifts-sister-shaheen-flats-worth-rs-7-68-crores-entertainment-news-2411387/,Alia Bhatt makes big investments in Bandra real estate; gifts sister Shaheen flats worth Rs 7.68 crores,Bollywood Life,"Apr 24, 2023","Alia Bhatt is known to be a shrew investor. The actress has big investments 
in Bandra real estate as per reports, and also gifted sister...",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830a249bf81d0f3619379364ae1ffe984a5508ff29196c5c881.jpeg
7,https://www.moneycontrol.com/news/business/real-estate/saif-ali-khan-rents-apartment-for-rs-3-5-lakh-in-mumbais-bandra-7335411.html,Saif Ali Khan rents apartment for Rs 3.5 lakh in Mumbai’s Bandra,Moneycontrol,"Aug 15, 2021","The monthly rent for the first year is Rs 3.5 lakh, Rs 3.67 lakh for the 
second year and Rs 3.87 to August 19, 2024, the registration...",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830970f34e7c8fed1e5d646625a6e6ca2cccb38e3c8f42e4ee0.jpeg
8,https://housing.com/news/a-house-to-match-his-personality-arjun-kapoors-pride-and-joy/,Arjun Kapoor house: A match to his personality,Housing,"Jul 21, 2022","Arjun Kapoor house: Know more about Arjun Kapoor house in Juhu and the 
property he sold in Bandra recently.",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830c66823c7eabff75fef01d2162fe6cddd71e1a3d7626044e3.jpeg
9,https://housing.com/news/farhan-akhtar-home/,Farhan Akhtar’s home: A combination of luxury and aesthetics,Housing,"Dec 27, 2021","Some key aspects of Farhan Akhtar's home include: Farhan Akhtar house 
Bandra is named 'Vipassana'. It is situated along Bandra Bandstand and...",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b830ad6b9f8a2329eaa32004bfa02bda729fc4f747cf5e2b63fd.jpeg
10,https://timesofindia.indiatimes.com/tv/news/hindi/karan-kundrra-buys-a-flat-for-14-crore-in-bandra-exclusive/articleshow/91696239.cms,Karan Kundrra buys a flat for ₹14 crore in Bandra - Exclusive!,Times of India,"May 21, 2022","... have reason to celebrate, as Karan has fulfilled a lifelong dream. The 
young star has just bought a swanky new apartment in Bandra for a...",https://serpapi.com/searches/66afbea0cace96458a95ce6e/images/12e2d5cfa608b8302ce65f40eafdb019ba18b1f3f7d1905856098673533ee63d.jpeg
1,https://housing.com/news/sanjay-dutt-house/,"Sanjay Dutt’s Mumbai house: Class, sophistication and more",Housing,"Feb 23, 2021","Sanjay Dutt's home in Pali Hill is a lavish apartmnet, decked up with 
sophisticated interiors. Check out inside pictures of Sanjay...",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe7f6ef26fe3131c6b9eaf1b89cee067becfe086b1131ac5f1c.jpeg
2,https://www.freepressjournal.in/mumbai/mhada-eyeing-3-projects-in-kalachowki-worli-bandra-reclamation-to-rev-up-real-estate-business-in-mumbai,"MHADA eyeing 3 projects in Kalachowki, Worli & Bandra Reclamation to rev up real estate business in Mumbai",Free Press Journal,"Feb 10, 2023","The housing body has suggested the cluster redevelopment of Abhyudaya Nagar 
at Kalachowkie, Adarsh Nagar in Worli and the Bandra Reclamation...",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe700e711072395dff77797fab128c77b4d75ff849bc51044f7.jpeg
3,https://housing.com/news/rekha-house/,All about Bollywood’s evergreen diva Rekha’s house in Mumbai,Housing,"Jan 3, 2023","Rekha house: Know all about Rekha's Bungalow in Bandra including the 
different spaces in Rekha home for yoga and gardening.",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe731855116aff10d1fc41050b0655822f88635f47e0b9f6bd8.jpeg
4,https://www.dnaindia.com/bollywood/report-sushant-singh-rajput-s-bandra-flat-not-getting-tenants-mumbai-real-estate-agent-reveals-the-truth-3010347,Sushant Singh Rajput's Bandra flat not getting tenants? Mumbai real estate agent reveals the truth,DNA India,"Dec 13, 2022","If you think the real reason behind the SSR flat being vacant is due to the 
controversial death of the actor, then you are wrong.",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe71cb3d315212fcbde24d70c68d92f313eaa7be3281725041d.jpeg
5,https://www.zeebiz.com/india/real-estate/news-rs-119-cr-ranveer-singhs-new-bandstand-house-in-bandra-west-of-mumbai-19-parking-lots-rs-7-cr-stamp-duty-11266-sq-ft-space-and-more-189280,"Rs 119 cr! Ranveer Singhs New Bandstand House In Bandra West of Mumbai - 19 parking lots, Rs 7 cr stamp dut...",Zee Business,"Jul 12, 2022","The actor has bought the apartment spread across floors 16, 17, 18 and 19 
of Sagar Resham, a building at Bandstand in the close vicinity of...",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe77c56adce1090765ad29c6ae9d0b9a9c8bd099ea6761dec79.jpeg
6,https://housing.com/news/10-trendiest-cafes-in-bandra/,10 trendiest cafes in Bandra,Housing,"Jul 11, 2023","There are a lot of cafes in Bandra that you can visit to try delicious food 
and beverages.",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe7fea5f1c0dd2cbec69ffd8c19484c3307733328e4359efc91.jpeg
7,https://housing.com/news/joggers-park-mumbai/,Jogger’s Park Mumbai: Visitor’s guide,Housing,"Jun 26, 2023","Inaugurated on May 27,1990, the Jogger's Park in Mumbai's Bandra offers 
free entry through the week, to all visitors.",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe7e9362d29bdbeb21bf5f31cf6713d3ee20556216cb5ec1bb1.jpeg
8,https://housing.com/news/mithun-chakraborty-house/,All about Mithun Chakraborty’s sprawling Mumbai bungalow,Housing,"Sep 29, 2021","Mithun Chakraborty or Mithun Da to most people, is one of Bollywood and 
India's biggest superstars. The original 'Disco Dancer',...",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe7d333935d27d732c86a19779aa9ea8398757fba7de9a04c68.jpeg
9,https://housing.com/news/rajesh-khannas-mumbai-bungalow-aashirwad/,Late Rajesh Khanna’s Mumbai bungalow: Where history meets nostalgia,Housing,"Apr 6, 2021","Late Rajesh Khanna's 6,500 sq. ft. sea-facing landmark bungalow 'Aashirwad' 
in Bandra was bought by him from another Bollywood legend...",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe797797020308ec6e45f2c3e224d745876dfb23708587e40ef.jpeg
10,https://timesofindia.indiatimes.com/city/mumbai/japanese-mnc-bids-record-rs-2238-crore-for-three-acre-bkc-plot/articleshow/69935512.cms,"Japanese MNC bids record Rs 2,238 crore for three-acre BKC plot",Times of India,"Jun 25, 2019","Japanese conglomerate Sumitomo has shaken Mumbai's dormant property market 
by submitting a whopping bid of Rs 2238 crore for a three-acre...",https://serpapi.com/searches/66afbea279627cf85048179e/images/63e33349ca796fe7acc034b75b1aaf32c951dc015ff8cabe0499cc5db935c293.jpeg
