position,link,title,source,date,snippet,thumbnail,locality
2,https://www.hellomumbainews.com/current-news/ibg-awards-of-excellence-2022-held-at-imc-churchgate-mumbai-exclusive-pictures-here/,"IBG Awards of Excellence 2022 held at IMC Churchgate Mumbai, exclusive pictures here",Hello Mumbai News,"Apr 11, 2022","IBG Annual Awards Ceremony 2022 held at IMC Churchgate on 8th April, 2022 
IBG's 4th edition of awards which comprises of 8 categories like...",https://serpapi.com/searches/66afcc058ccee0b640d89511/images/d789a2ff0026559621d277fcede588aed155d5bcf421b98c945dd6b31ebc5802.jpeg,Churchgate
1,https://housing.com/news/anil-ambani-house/,Inside industrialist Anil Ambani’s house in Mumbai,Housing,1 week ago,"Anil Ambani house location, Pali Hill, Mumbai. Area, 16,000 sqft. Number of 
floors, 17. Property value, Rs 5,000 crore.",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a36e7ba78a6dfa0a47bd6d215b4c0306b8409537c3766846f.jpeg,Cuffe Parade
2,https://www.moneycontrol.com/news/business/real-estate/maharera-dismisses-complaint-against-lodha-for-new-cuffe-parade-project-in-mumbai-11997191.html,MahaRERA dismisses complaint against Lodha for New Cuffe Parade project in Mumbai,Moneycontrol,"Jan 4, 2024","The Maharashtra Real Estate Regulatory Authority (MahaRERA) has said that 
RERA is not mandated to monitor construction beyond the boundaries...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33af12c11fd5d12af9ec2e67b2d02ff4ba023705e6beeb57415.jpeg,Cuffe Parade
3,https://www.business-standard.com/india-news/with-mthl-on-the-road-mumbai-may-see-projects-worth-rs-84k-cr-begin-ops-124011000949_1.html,"With MTHL on the road, Mumbai may see projects worth Rs 84K cr begin ops",Business Standard,"Jan 10, 2024","The 37276 crore worth Mumbai Metro line-3, connects the north of the city 
(SEEPZ) to south (Cuffe Parade) and is expected to start...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a5645e2fc881c2af15f36727f7a9eea10777ee20b0914d072.jpeg,Cuffe Parade
4,https://www.freepressjournal.in/mumbai/mumbai-premium-housing-sales-in-malabar-hill-soar-by-79-in-a-year-crossing-1-lakh-per-sq-ft-mark,Mumbai: Premium Housing Sales In Malabar Hill Soar By 79% In A Year; Crossing ₹1 Lakh Per Sq Ft Mark,Free Press Journal,"Jan 3, 2024","With top builders already active in the market, three more A-grade builders 
are in line to launch their projects.",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a77f6b1ca64d27671b0446d737c49f0f2e5de57cca8c51e04.jpeg,Cuffe Parade
5,https://housing.com/news/circle-rate-in-cuffe-parade-mumbai/,"Ready reckoner rate in Cuffe Parade, Mumbai",Housing,"Jan 29, 2024","Cuffe Parade, one of South Mumbai's most important residential and business 
areas, is well-known for its elegant and upmarket surroundings.",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a53e148624bc286b5ded74864d828a679ffc2b5fc83b5c4fa.jpeg,Cuffe Parade
6,https://in.mashable.com/tech/71703/mumbais-bandra-kurla-complex-more-expensive-than-manhattan-uday-kotak-thinks-so,Mumbai’s Bandra Kurla Complex More Expensive Than Manhattan? Uday Kotak Thinks So,Mashable India,"Mar 19, 2024","Realtor Tracy Hampson once remarked that 'real estate is a contact sport.' 
It sure feels like one when you compare the property rates of...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a7385dc2aa3552baa26c9db82aaca0291ed75a45872627735.jpeg,Cuffe Parade
7,https://www.hindustantimes.com/cities/mumbai-news/real-estate-agent-booked-for-rape-after-spiking-journalism-student-s-drink-with-sedatives-in-mumbai-accused-on-the-run-rape-mumbai-crime-101681586921295.html,Colaba real estate agent booked for raping journalism student after spiking drink,Hindustan Times,"Apr 16, 2023","Real estate agent booked for allegedly raping a journalism student after 
spiking her drink with sedatives and recording her nude videos...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a1f7e021e26c2272364bf0e2c3778dfabb8cce9e920e9c7c9.png,Cuffe Parade
8,https://www.freepressjournal.in/mumbai/mumbai-news-with-infra-boost-sobo-office-spaces-need-200-crore-makeover,"Mumbai News: With Infra Boost, SoBo Office Spaces Need ₹200-Crore Makeover",Free Press Journal,"Nov 18, 2023","Revival of Mumbai's old CBDs with upcoming infrastructure projects set to 
boost real estate market. Findings of a study by Colliers reveal...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a431270cb7484fa0b34ead188861ba560478fa1a0f45e52fa.jpeg,Cuffe Parade
9,https://www.firstpost.com/business/new-cuffe-parade-to-upper-worli-how-realtors-are-enticing-buyers-1156529.html,New' Cuffe Parade to 'Upper' Worli: How realtors are enticing buyers,Firstpost,"Dec 20, 2014","Realtors across India are in a do or die situation. From swanky and 
hip-sounding addresses to customized festival discounts, real estate...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a93a03481ece91393c18d43a08bf8633f617f3a2c1bb16698.jpeg,Cuffe Parade
10,https://indianexpress.com/article/cities/mumbai/mumbai-new-cuffe-parade-project-maharera-5367306/,"Mumbai: New Cuffe Parade project comes under us, says MahaRERA",The Indian Express,"Sep 21, 2018","The Maharashtra Real Estate Regulatory Authority (MahaRERA) has held that 
it will have jurisdiction over the 'New Cuffe Parade' project by...",https://serpapi.com/searches/66afcc07aef264f63c6e1540/images/a8746629e891b33a07eeea067db19664f663320176e23f2dd3690f731d04f0f3.jpeg,Cuffe Parade
1,https://housing.com/news/posh-residential-areas-in-mumbai/,Posh Areas In Mumbai With Property Prices,Housing,"Oct 16, 2023","Check out the list of posh areas in Mumbai and its suburban regions that is 
known for housing celebrities, millionaires and businessmen.",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc2ed94e34f58ef6150c0ffae8845150682ec018c820a635b1.jpeg,Cuffe Parade
2,https://www.timesnownews.com/business-economy/real-estate/warburg-pincus-sells-stake-in-indian-real-estate-venture-to-runwal-group-know-deal-valuation-article-105209066,Warburg Pincus Sells Stake In Indian Real Estate Venture To Runwal Group - Know Deal Valuation,Times Now,"Nov 14, 2023","Global investment giant Warburg Pincus has completed its exit from a joint 
real estate venture in India, selling its stake for over Rs 600...",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc7fb971000d64bb878fc7083bb2dc74bf56e8c5036eb03715.jpeg,Cuffe Parade
3,https://www.newslaundry.com/2020/07/30/zee-medias-subhash-chandra-rents-out-mumbai-bungalow-to-the-chinese-consulate-according-to-real-estate-site,"Zee Media's Subhash Chandra rents out Mumbai bungalow to the Chinese Consulate, according to real estate site",Newslaundry,"Jul 30, 2020","Subhash Chandra, Rajya Sabha member and promoter of Zee Media group, has 
reportedly rented out a bungalow to the Chinese Consulate in Mumbai...",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc38adfe620b19bf85cbdf9757245f263935c593f728ff89c7.jpeg,Cuffe Parade
4,https://www.moneycontrol.com/news/business/real-estate/area-watch-will-luxury-homes-post-covid-bring-back-south-mumbais-charm-11060711.html,Area Watch: Will luxury homes post-COVID bring back South Mumbai’s charm?,Moneycontrol,"Jul 31, 2023","South Mumbai, once known for being among the costliest real estate markets, 
is set to witness a heavy inflow of infrastructure projects like...",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fcf54d14004033371337f2704cad69d3e573ab38712306f48e.jpeg,Cuffe Parade
5,https://www.hindustantimes.com/cities/mumbai-news/malabar-hill-micro-market-picks-up-with-14-projects-101704135745751.html,Malabar Hill micro-market picks up with 14 projects,Hindustan Times,"Jan 2, 2024","The report threw light on 14 different projects at different stages of 
construction by 12 developers that lie in this catchment.",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fcf221f0e5373723f412a9d4a44f68b6ad3497356f82ee3c3f.jpeg,Cuffe Parade
6,https://indianexpress.com/article/explained/adarsh-scam-ashok-chavan-bombay-high-court-tyagi-2776837/,The Adarsh scam: Mumbai’s tower of shame,The Indian Express,"Apr 29, 2016","It would have been just another expensive sea-facing real estate along 
South Mumbai's upscale Colaba-Cuffe Parade area which is home to many...",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc698d0f7c330cbdc33d1b278a5278cb3831443e5b6412a366.jpeg,Cuffe Parade
7,https://housing.com/news/supreme-court-orders-lodha-to-refunds-rs-2-25-cr-to-homebuyer/,Supreme Court orders Lodha to refund Rs 2.25 cr to homebuyer,Housing,1 month ago,"The Supreme Court (SC) has instructed Lodha Crown Buildmart, a division of 
the real estate developer Macrotech Developers (Lodha),...",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fceaa6e1d9ec486f6c66cb0a1339f717b798e1fc7662a2dbe0.jpeg,Cuffe Parade
8,https://housing.com/news/circle-rate-in-dongri-mumbai/,"Ready reckoner rate in Dongri, Mumbai",Housing,"Jan 29, 2024","The government, via the sub-registrar office, notifies property 
transactions at a minimum value known as the ready reckoner rate.",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc72ad0fcd71e6c4514137bf2b40a8e218109878be0051f00c.jpeg,Cuffe Parade
9,https://housing.com/news/mumbai-metro-line-3/,"Mumbai Metro Line 3: Aqua Line route, stations, map",Housing,1 month ago,"Mumbai Metro Line 3 is also known as the Aqua Line. Check out details, such 
as its route, stations, etc., in this guide.",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc32087436dd5d5633375b0789fda422397da6a854279c2663.jpeg,Cuffe Parade
10,https://housing.com/news/anupam-mittal-house/,Inside businessman Anupam Mittal’s swanky house in south Mumbai,Housing,"May 31, 2023","Shark Tank judge Anupam Mittal lives with his family in a luxurious 6 BHK 
apartment in South Mumbai's Cuffe Parade.",https://serpapi.com/searches/66afcc08c7ad41b4b06b2c9e/images/a8ea8b9c42b1a2fc7e82996c10344dffdd8d7a00d119b40ea6dddc50eefcef45.jpeg,Cuffe Parade
1,https://indianexpress.com/article/cities/mumbai/mumbai-wadalas-new-cuffe-parade-project-hits-height-hurdle-2781409/,Mumbai: Wadala’s ‘New Cuffe Parade’ project hits height hurdle,The Indian Express,"May 3, 2016","In a blow to an ambitious multi-crore real estate project of the Lodha 
Group, looking to brand Wadala as 'New Cuffe Parade', the Airports...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16cf3f9c748160a6f5af7e8fb81ee0a3c9cbe79d8996e62c0c3.jpeg,Cuffe Parade
2,https://www.moneycontrol.com/news/business/real-estate/sc-orders-lodha-to-refund-rs-2-25-cr-to-homebuyer-with-interest-over-delivery-delay-12366471.html,SC orders Lodha to refund Rs 2.25 cr to homebuyer with interest over delivery delay,Moneycontrol,"Feb 28, 2024","The Supreme Court has directed Lodha Crown Buildmart, part of the listed 
real estate developer Macrotech Developers (Lodha), to refund Rs...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16cb8557b4943c350e09bc128444408b313d66d658bf13e3608.jpeg,Cuffe Parade
3,https://www.hindustantimes.com/mumbai/a-tale-of-two-cuffe-parades/story-f3D8ZCyoMlbf6WxX1Y7iZI.html,A tale of two Cuffe Parades,Hindustan Times,"May 6, 2016","The only thing in common between the two Cuffe Parades is that both will 
provide a view of Mumbai's magnificent seafront, though how much of...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16c4b4945166ff1c8dd0d61f1a9b5cf5f77052109b9cbac9a17.png,Cuffe Parade
4,https://indianexpress.com/article/india/how-adarsh-scam-broke-officer-in-cbi-net-ropes-big-fish-for-prime-mumbai-plot/,How Adarsh scam broke: ‘Officer in CBI net ropes big fish for prime Mumbai plot’,The Indian Express,"Apr 29, 2016","The story below was the first report on the Adarsh Housing Society scam, 
published in The Indian Express on August 3, 2003.",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16c8d8fb4b7fadcd75e3a1785e95530c72e5c512012ecd4510e.jpeg,Cuffe Parade
5,https://timesofindia.indiatimes.com/city/mumbai/maharashtra-to-develop-21-acre-machhimar-nagar-at-cuffe-parade/articleshow/91159441.cms,Maharashtra to develop 21-acre Machhimar Nagar at Cuffe Parade,Times of India,"Apr 28, 2022","Housing minister Jitendra Awhad on Thursday said that government plans to 
redevelop 21 acre of prime land in Cuffe Parade's Machhimar Nagar...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16cd2293b427e6f66f4be54edfd0c7096d1793a563c06104c2a.jpeg,Cuffe Parade
6,https://www.aninews.in/news/business/business/shapoorji-pallonji-real-estate-aims-to-surpass-rs-1000-crore-in-sales-revenue-from-its-uber-luxury-project-in-mumbai20240125165656,Shapoorji Pallonji Real Estate Aims to Surpass Rs 1000 Crore in Sales Revenue from its Uber-luxury Project in Mumbai,ANI News,"Jan 25, 2024","ANI | Updated: Jan 25, 2024 16:56 IST. ANI News Join our Whatsapp channel · 
NewsVoir. Mumbai (Maharashtra) [India], January 25: With the SP Group's 
legacy...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16c25630a626d0f841623c1e8cf16e601e1fc78db4bd40b8c9b.jpeg,Cuffe Parade
7,https://housing.com/news/luxurious-colourful-designer-maheka-mirpuris-home/,Luxurious and colourful: Designer Maheka Mirpuri’s home,Housing,"Dec 22, 2020","Designer Maheka Mirpuri's spacious home in Mumbai's Cuffe Parade blends 
colours, furniture, flowers, and artifacts, to create a décor that...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16c56c4b43e18e4193781e831bc2b30ff687fbe06386ec80417.jpeg,Cuffe Parade
8,https://www.prittleprattlenews.com/business/tardeo-pin-code-to-south-mumbais-premium-real-estate/,Tardeo: Pin code to South Mumbai’s premium real estate market that drips luxury,Prittle Prattle News,"Nov 2, 2022","Altamount Road in Tardeo is one of those costliest homes to extraordinary 
business tycoons in the city for which it is called a...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16cd9a108356893c8530d26ef458c9a7857e159918f870f02fd.jpeg,Cuffe Parade
9,https://www.hindustantimes.com/mumbai/living-in-the-lap-of-luxury/story-ygTJJw0xsn4Wzs3qcIfP3J.html,Living in the lap of luxury!,Hindustan Times,"Jun 16, 2012","Following the sale of a Mumbai flat at a record Rs 1.2 lakh per square 
foot, we look at the country's most expensive apartments, the people...",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16cf750017c81d628d479bd925eb9d8d26f46750ea344d01836.png,Cuffe Parade
10,https://housing.com/news/ready-reckoner-rate-in-colaba-mumbai/,"What is the ready reckoner rate in Colaba, Mumbai?",Housing,"Dec 26, 2023","Also known as ready reckoner rate, this price varies from 
location-to-location. Check out the circle rate in Colaba.",https://serpapi.com/searches/66afcc0b94fb031b191dccb5/images/873e0e504faae16c28b225d35afad0061effbae43cbb9c417ac4800b0bd6e852.jpeg,Cuffe Parade
1,https://www.hindustantimes.com/real-estate/india-poshest-areas-data-reveals-tardeo-and-other-surprises/story-rGEijEXdtnQJbU5RuAJQFL.html,India’s poshest areas? Data reveals Tardeo and other surprises,Hindustan Times,"Oct 11, 2019","While Tardeo ranks high on the list of India's most expensive property, 
neighbourhoods from Chennai, Hyderabad, Bangalore, Delhi and Pune...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d85d01d610a361256a9a73aaeac103362b57fad68ff730f04.png,Cuffe Parade
2,https://www.hindustantimes.com/cities/mumbai-news/bkc-to-worli-metro-service-likely-by-late-2024-101706986537013.html,BKC to Worli metro service likely by late 2024,Hindustan Times,"Feb 4, 2024","The Mumbai Metro Rail Corporation has decided to commence services on this 
9.63-km stretch of the Metro-3 line after phase one from Aarey...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9de3a7b4fa719e7600cd1bafc3018463c090cdd4d2583fa223.jpeg,Cuffe Parade
3,https://housing.com/news/mumbai-metro-line-3-is-82-complete-mmrcl/,Mumbai Metro-3 project is 82% complete: MMRCL,Housing,"Jun 14, 2023","The Mumbai Aqua Line also known as the Mumbai Metro Line 3 is 82% complete 
as on May 31, 2023. This underground metro from Aarey to Cuffe...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d78d759e74e7f315b3f2c04366e747e8a1fa91f8435e66b63.jpeg,Cuffe Parade
4,https://www.hindustantimes.com/cities/mumbai-news/defence-restrictions-struck-down-by-court-no-longer-applicable-govt-to-bmc-sra-101699037843158.html,"Defence restrictions struck down by court no longer applicable, govt to BMC, SRA",Hindustan Times,"Nov 4, 2023","The Urban Development (UD) issued a clarification stating that four 
circulars issued by defense since 2011 were struck down by the Bombay...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d9e08f0a51888786bece0be28e7c46dfc2e393e27597ef52d.jpeg,Cuffe Parade
5,https://housing.com/news/bandra-kurla-complex-marshy-land-prime-commercial-hub/,Bandra-Kurla Complex: From marshy land to a prime commercial hub,Housing,"Dec 26, 2018","The Bandra-Kurla Complex in Mumbai is today ranked alongside the prime 
commercial hubs of Nariman Point and Cuffe Parade in south Mumbai,...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d8c0997418e992c887d8d16d1cdf4f6678df52ac245a40736.jpeg,Cuffe Parade
6,https://housing.com/news/what-is-the-circle-rate-in-mahim-mumbai/,"What is the ready reckoner rate in Mahim, Mumbai?",Housing,"Jan 29, 2024","The real estate market value in Mahim is linked to its strategic location 
and connectivity. Check out ready reckoner rates in Mahim.",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9dfa875cb11f70247a52f2c1bc5c592726216958d6f5b2c0a8.jpeg,Cuffe Parade
7,https://housing.com/news/mumbai-metro-line-3-closer-to-operational-phase/,Mumbai Metro Line 3 closer to operational phase,Housing,"May 7, 2024","Also known as the Aqua Line, the Mumbai Metro Line 3 will be made 
operational in phases. Phase, Route. Phase- 1, Aarey colony to BKC.",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d5d210628ff9d963ae34d0955d2bf7ab50661123a0b31301c.jpeg,Cuffe Parade
8,https://timesofindia.indiatimes.com/city/mumbai/path-cleared-for-pallonji-firm-to-work-on-sobos-priciest-sra-project/articleshow/73917517.cms,Path cleared for Shapoorji Pallonji firm to work on south Mumbai’s priciest SRA project,Times of India,"Feb 4, 2020","Three years after the SC paved the way for authorities to approve one of 
the most valuable slum redevelopment projects at Cuffe Parade in...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d07994d7e1674ee3aee9f5ca47879ee36c32f4a9a15754736.jpeg,Cuffe Parade
9,https://housing.com/news/mumbai-metro-line-3-is-80-6-complete/,Mumbai Metro Line-3 is 80.6% complete,Housing,"Apr 14, 2023","The 33.5 km Aqua line or Mumbai Metro 3 with 28 stations is the first 
underground metro in Mumbai.",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d3ad06acd9bc3e8461d7ec91a5bf618980bbf195d184e8759.jpeg,Cuffe Parade
10,https://housing.com/news/bombay-hc-raps-municipal-corporation-housing-society-usurping-garden-plot/,"Bombay HC raps municipal corporation, housing society for usurping garden plot",Housing,"Nov 17, 2017","The Bombay High Court has pulled up the municipal corporation, for allowing 
a housing society in south Mumbai to use a plot earmarked for a...",https://serpapi.com/searches/66afcc0de4a23d45d9ba5490/images/e31f1b24df25ab9d025613b0e078047a03dbd6374da22c26d6fdb3570f1cc886.jpeg,Cuffe Parade
1,https://timesproperty.com/news/post/mumbai-metro-line-3-details-blid5409,Mumbai Metro Line 3: Route Map & Construction Update,Times Property,"Aug 17, 2023","All About Mumbai Metro Aqua Line 3. Table of Contents. Latest News On 
Mumbai Metro Line 3; A Closer Look At Mumbai Metro Line 3; Key Updates Of 
Upcoming...",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f4da8b02c9a4ce1037ebb90cacf10e4456bf5e54d38a8f23ff.jpeg,Cuffe Parade
2,https://housing.com/news/construction-work-to-connect-mumbai-metro-line-3-with-csmt-subway-starts/,Construction work to connect Mumbai Metro line 3 with CSMT subway starts,Housing,"Dec 21, 2022","This will aid in seamless change of mode of transport with the subway being 
connected with underground pathway access with Aqua Line 3.",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f456da03bc26e98a1858544b22e710d7d75b61594f4af48df4.jpeg,Cuffe Parade
3,https://housing.com/news/top-fmcg-companies-in-mumbai/,Top FMCG Companies in Mumbai,Housing,"Oct 13, 2023","Hindustan Unilever Limited (HUL) stands tall as one of India's most trusted 
FMCG companies. It offers an extensive range of products,...",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f474693fef346d19e1070547c7c5703bc3994f367aa0196b09.jpeg,Cuffe Parade
4,https://housing.com/news/134-bus-route-mumbai-backbay-bus-depot-to-thackeray-udyan/,134 Bus route Mumbai: P Thackeray Udyan to Backbay Bus Depot,Housing,"May 29, 2023","Check out the schedule, stops for the 134 bus route in Mumbai that can be 
used for traveling from P Thackeray Udyan to Backbay depot.",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f4a6ff8a2aed38b1342877e4e6bae55b036ee35704ab27d2b6.jpeg,Cuffe Parade
5,https://housing.com/news/mumbai-metro/,"Mumbai Metro Lines: Route, map, stations and latest news",Housing,"May 28, 2024","Mumbai Metro Map: Read this article to learn about the various routes of 
the Mumbai Metro as well as other information.",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f49a5aa9814e72951083f19ecdb3b3653843d830d73d5fe03c.jpeg,Cuffe Parade
6,https://www.fortuneindia.com/ideas/godrejs-master-plan/100746,Godrej’s master plan,Fortune India,"Jan 5, 2013","In a seedy business, Godrej Properties has a spotless reputation and 
customers are lapping up its apartments—even at a premium.",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f41ed74563514e7f5b9c0d0769f70b89e72d9f50a2cf59f8cb.png,Cuffe Parade
7,https://housing.com/news/no-night-time-metro-construction-work-south-mumbai-area-mpcb-files-noise-pollution-report-hc/,"No night-time metro construction work in south Mumbai area, until MPCB files noise pollution report: HC",Housing,"Jul 19, 2018","The Bombay HC has asked the state's pollution control board to record noise 
levels near the metro rail site at Cuffe Parade and restricted...",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f436f3c4b293c865346aafcead7a0786d2f27050605af266f5.jpeg,Cuffe Parade
8,https://housing.com/news/mumbai-metro-seeks-permission-carry-work-night-line-iii/,Mumbai Metro seeks permission to carry out work at night on Line III,Housing,"Jun 7, 2018","Stating that the tunnel-boring work in Cuffe Parade could only be done at 
night, when the traffic was minimal, the Mumbai Metro has sought...",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f459ea92ae47a2040b26ce82b5bb96073c6c877ee61c23e276.jpeg,Cuffe Parade
9,https://www.thehindu.com/news/cities/mumbai/business/Anil-Ambani-gets-a-taste-of-daily-Mumbai-commute/article14414559.ece,Anil Ambani gets a taste of daily Mumbai commute,The Hindu,"Jun 10, 2016","After the Reliance Group's headquarters moved from Ballard Estate to Santa 
Cruz, Mr. Ambani will now spend an hour travelling everyday.",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f474eaf403e79637dd46c2986018224926a00993117ad81410.jpeg,Cuffe Parade
10,https://housing.com/news/bombay-hc-allows-cutting-mangroves-bandra-kurla-complex-metro-station/,Bombay HC allows cutting of mangroves for Bandra-Kurla Complex metro station,Housing,"Jun 14, 2017","A Bombay High Court division bench of justices VM Kanade and MS Sonak, on 
June 13, 2017, allowed an application filed by the Mumbai Metro...",https://serpapi.com/searches/66afcc0fa4be1090d330f38d/images/694ed57d6ea1a8f443751b1bdc536c13bbe902f0fe4dad6a9bf41452d1169123.jpeg,Cuffe Parade
1,https://www.business-standard.com/article/specials/mumbai-property-rate-slide-arrested-197090201067_1.html,Mumbai Property Rate Slide Arrested,Business Standard,"Sep 2, 1997","The entry of transnationals, along with heightened industrial activity of 
the domestic private sector led to an upsurge in the demand for...",https://serpapi.com/searches/66afcc1018ca86374b5738bb/images/ff2a2b9ce6cdd2ba5d3ec0745244a1cc6013c23bdf81515f4a67774f42407a2b.png,Cuffe Parade
2,https://www.bignewsnetwork.com/news/274467363/siddhivinayak-homes-wins-prestigious-lokmat-real-estate-conclave-2024-award-for-best-township-in-navi-mumbai,Siddhivinayak Homes Wins Prestigious Lokmat Real Estate Conclave 2024 Award for Best Township in Navi Mumbai,Big News Network.com,1 week ago,"SMPL Navi Mumbai Maharashtra [India] July 24 Siddhivinayak Homes has been 
awarded the Best Township in Navi Mumbai at the Lokmat Real Estate...",https://serpapi.com/searches/66afcc1018ca86374b5738bb/images/ff2a2b9ce6cdd2ba3bc1495b2b3a146a7a8f10f8050898b076326c3ace59181e.jpeg,Cuffe Parade
1,https://www.moneycontrol.com/news/business/real-estate/wellknown-polysters-chairman-anil-gupta-buys-2-apartments-worth-rs-270-crore-in-south-mumbai-12644211.html,Wellknown Polysters Chairman Anil Gupta buys 2 apartments worth Rs 270 crore in South Mumbai,Moneycontrol,"Apr 15, 2024","This is one of the biggest residential deal in residential segment of 
Mumbai real estate market in 2024. In 2023, deal worth Rs 252 crore...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a579aaf8cbf764a87b97a4ffc85720d8146ddbcff588f65a6e.jpeg,Malabar Hill
2,https://www.timesnownews.com/business-economy/real-estate/rekha-jhunjhunwala-purchases-high-end-apartment-in-mumbais-malabar-hill-for-article-108725667,Rekha Jhunjhunwala Purchases High-End Apartment In Mumbai's Malabar Hill For...,Times Now,"Mar 23, 2024","This acquisition follows a recent investment move by Rekha 
Jhunjhunwala-backed Kinnteisto LLP, which had acquired prime office space 
worth...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a52be4a236adab4d1b3e594dd4e828f981d2799e58dfa2ec99.jpeg,Malabar Hill
3,https://www.hindustantimes.com/real-estate/nadir-godrej-purchases-three-apartments-for-rs-180-crore-in-south-mumbais-posh-malabar-hill-101718618802189.html,Nadir Godrej purchases three apartments for ₹180 crore in South Mumbai's posh Malabar Hill,Hindustan Times,1 month ago,"The three apartments purchased by Nadir Godrej of Godrej Industries in 
South Mumbai come with 12 parking spaces and have attracted a stamp...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a517debf5ea9130827e9e0512c0fd331e00faedfdbad68c068.jpeg,Malabar Hill
4,https://m.economictimes.com/industry/services/property-/-cstruction/nadir-godrej-family-buy-3-luxury-apartments-in-sobos-malabar-hill-for-rs-180-cr/articleshow/111062856.cms,"Nadir Godrej, family buy 3 luxury apartments in SOBO’s Malabar Hill for Rs 180 cr",The Economic Times,1 month ago,"Godrej Industries' Chairman Nadir Godrej and his family have acquired three 
sea-view luxury apartments in South Mumbai's Malabar Hill for a...",https://serpapi.com/searches/66afcc125b54ef718839fac6/images/e64771eb9154f3a55eeab57d3b4624d7ad74283446266e195aa3bfa58bec3be4.jpeg,Malabar Hill
