position,link,title,source,date,snippet,thumbnail,locality
3,https://timesofindia.indiatimes.com/city/mumbai/at-1-4-lakh/square-feet-triplex-in-sobo-tower-sold-for-record-252-crore/articleshow/98644216.cms,"At Rs 1.4 lakh/square feet, triplex in south Mumbai tower sold for record Rs 252 crore",Times of India,"Mar 15, 2023","In a record-breaking deal for a home in a residential building, an 18000 
sqft triplex in an under-construction tower at Walkeshwar in south...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQeeeL1MD-qylzSfxcWE5mZp2W2MBIKZwBysxbiA2TQN03vgb-5jppPHsk&usqp=CAI&s,Fort
4,https://housing.com/news/mhada-releases-list-of-20-dangerous-cessed-buildings-in-mumbai/,Mhada releases list of 20 dangerous cessed buildings in Mumbai,Housing,"May 30, 2024","May 30, 2024: The Mumbai Buildings Repairs and Reconstruction Board 
(MBRRB), a unit of Maharashtra Housing and Area Development Authority...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbYRFuCPulpZ2MbjDP4aFJnaSb4EpCsKMoEn6JJCLaoua991QBc6c_mXE&usqp=CAI&s,Fort
5,https://m.economictimes.com/industry/services/property-/-cstruction/top-office-markets-for-commercial-real-estate-investments-in-india-in-2024-a-report-by-property-share/articleshow/107430369.cms,Top office markets for commercial real estate investments in India in 2024 - a report by Property Share,The Economic Times,"Feb 5, 2024","Property Share conducts its own supply study, which provides more granular 
data for investment decisions. Hyderabad's office market vacancy...",https://serpapi.com/searches/66afcbc02bc7d8df476e12ab/images/620e12f89b07060f3d6c579b930ca746b575905ed2d4d8676cd0baaf379e04c0.jpeg,Fort
6,https://www.hindustantimes.com/cities/mumbai-news/hafeez-contractor-on-all-that-he-surveys-101704568300733.html,Hafeez Contractor on all that he surveys,Hindustan Times,"Jan 7, 2024","Located next to Jimmy Boy restaurant, the building looks like yet another 
functional Fort office building on Bank Street, Horniman Circle.",https://serpapi.com/searches/66afcbc02bc7d8df476e12ab/images/620e12f89b07060f272d0132cf45d07cd2d2171170c0cd6732c1aca0e93773a6.jpeg,Fort
7,https://housing.com/news/newspaper-companies-in-mumbai/,Top newspaper companies in Mumbai,Housing,"Sep 21, 2023","Bennett, Coleman & Co. (BCCL), also known as The Times Group, is a leading 
media conglomerate in India. It operates newspapers like The...",https://serpapi.com/searches/66afcbc02bc7d8df476e12ab/images/620e12f89b07060f20e383023ef136b5bda0fc80a5e56ac8be8f6b992075d0ab.jpeg,Fort
8,https://housing.com/news/chemical-manufacturers-in-mumbai/,Top chemical manufacturers in Mumbai,Housing,"Sep 25, 2023","BASF is one of the largest chemical companies in India. The company is one 
of the largest tier 1 companies that help other industries with...",https://serpapi.com/searches/66afcbc02bc7d8df476e12ab/images/620e12f89b07060fdcbb37fb8ef2dbb3537b16fb66b3e73143fefea49344ce5b.jpeg,Fort
9,https://www.hindustantimes.com/cities/mumbai-news/niraj-bajaj-buys-triplex-at-walkeshwar-for-252-50-cr-101678822689668.html,Niraj Bajaj buys triplex at Walkeshwar for ₹252.50 cr,Hindustan Times,"Mar 15, 2023","Mumbai Industrialist Niraj Bajaj has bought an 18000 square feet triplex at 
Walkeshwar for ₹252 | Mumbai news.",https://serpapi.com/searches/66afcbc02bc7d8df476e12ab/images/620e12f89b07060f71fc7ae5d2062b7c6a717d07fd1a89f0b13d19f8fb525d55.jpeg,Fort
10,https://housing.com/news/data-analytics-companies-in-mumbai/,Top 8 data analytics companies in Mumbai,Housing,"Sep 12, 2023","Polestar Solutions and Services has emerged as a vanguard in the realm of 
data analytics. Situated in the bustling district of Fort, Mumbai,...",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4UYACkLswaEWslzVoRtvRBv7L1WPUSalA9eF4fqDZpBruhSYUhPVXUMw&usqp=CAI&s,Fort
1,https://www.moneycontrol.com/news/business/real-estate/real-estate-developers-charge-rs-10-30-per-sq-ft-per-month-of-advance-maintenance-at-the-time-of-possession-in-mumbai-report-10757611.html,Real estate developers charge Rs 10-30 per sq ft per month of advance maintenance at the time of...,Moneycontrol,"Jun 7, 2023","The Real Estate (Regulation and Development) Act, 2016 (RERA) does not 
explicitly mention any specific formula or standards for this.",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585f88e3cb6757daa3c933ce52b9ef6c9d59809afc74169e33d.jpeg,Fort
2,https://timesproperty.com/news/post/current-market-prices-per-sq-ft-in-mumbai-blid3971,Market Prices Per Square Foot in Mumbai Neighborhoods,Times Property,"Feb 24, 2023","Know the Current Market Prices Per Sq. Ft. In Mumbai. Table of Contents. 
Mumbai And Its Neighbourhoods; Major Neighbourhoods In Brief In...",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a7958506541bcaf7073df115af67b7f409a910c4437d9143dd9d31.jpeg,Fort
3,https://housing.com/news/engineering-companies-in-mumbai/,Top engineering companies in Mumbai,Housing,"Sep 25, 2023","Tata Consultancy Services (TCS) is an Indian multinational IT services and 
consulting company. It offers a wide range of services,...",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a795851f9bb01de887119b9b42fe30e0923b5600b2000aaa8e2a89.jpeg,Fort
4,https://m.economictimes.com/industry/services/property-/-cstruction/birla-estates-acquires-prime-land-parcel-in-south-mumbais-malabar-hill/articleshow/99733290.cms,Birla Estates acquires prime land parcel in South Mumbai’s Malabar Hill,The Economic Times,"Apr 24, 2023","Birla Estates, the real estate development arm of the Aditya Birla Group, 
has acquired a prime land parcel in South Mumbai's upmarket...",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585775dc390ba8548d55b1e3fa00485302c79dfbee1fa31f21c.jpeg,Fort
5,https://www.cnbctv18.com/real-estate/housing-prices-rise-up-to-4-pc-january-march-ncr-up-but-mumbai-has-costliest-homes-credai-colliers-liasesforases-13595452.htm,"NCR property market saw highest price hikes but Mumbai still has the most expensive homes, says report",CNBC TV18,"May 24, 2022","Housing prices could rise up by 5-10 percent in the next six to nine 
months, Colliers' Ramesh Nair says.",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585723c2970c6277660a1beec305cd0a49c15a327258990e595.jpeg,Fort
6,https://qz.com/india/540983/the-reasons-behind-mumbais-ever-increasing-unaffordable-home-prices,"The reasons behind Mumbai’s ever increasing, unaffordable home prices",Quartz India,"May 11, 2016",The city's housing market is a basket case.,https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585dd9a0a2ad457cb14e6608628799145d100b9a56e761e4694.png,Fort
7,https://www.business-standard.com/article/companies/hines-plans-to-develop-90-mn-sq-ft-office-building-in-mumbai-foray-122081500693_1.html,"Hines plans to develop 900,000 sq ft office building in Mumbai foray",Business Standard,"Aug 16, 2022","In a statement on Monday, Hines said it has entered into the Mumbai office 
market with a new development that will feature a 30-storey grade...",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585c0253856cb90b7d4ee2097a051c0bb96e56d79bb0e47b16c.jpeg,Fort
8,https://www.hindustantimes.com/real-estate/costliest-apartment-deal-oberoi-realty-buys-mumbai-penthouse-for-rs-230-crore-101676194520291.html,Costliest apartment deal: Oberoi Realty buys Mumbai penthouse for ₹230 crore,Hindustan Times,"Feb 12, 2023","Said to be one of the largest single deals in India, Oberoi Realty has 
reportedly acquired around 30000 sq ft through its affiliate company.",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585fdcf926eeabaa11333a50adb90b79ac77fe8143ec3e8f4c8.jpeg,Fort
9,https://www.hindustantimes.com/real-estate/tardeo-in-south-mumbai-india-s-most-expensive-residential-location-in-primary-market-report/story-yAqwfDSPOncgwfBr9j4iEP.html,"Tardeo in South Mumbai, India’s most expensive residential location in primary market: Report",Hindustan Times,"Sep 9, 2019","Worli and Mahalaxmi in Mumbai Metropolitan Region (MMR) are placed at 
second and third positions with average housing prices of Rs 41500 and...",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a79585b23c9b3928329905107c80036f9119994f6545da2009bf67.png,Fort
10,https://www.moneycontrol.com/news/business/real-estate/dmarts-radhakishan-damani-buys-malabar-hill-house-in-one-of-the-costliest-real-estate-deals-in-mumbai-6726451.html,DMart's Radhakishan Damani buys Malabar Hill house in one of the costliest real estate deals in Mumbai,Moneycontrol,"Apr 3, 2021","At Rs 1.6 lakh per sq ft for the 5752 sq m house, the Damani brothers paid 
a total of Rs 1001 crore.",https://serpapi.com/searches/66afcbc2cace96458a95d0b4/images/9ae5749474a795854993323c70181fc092b924e4add32c386e78ac7869e76de2.jpeg,Fort
1,https://www.moneycontrol.com/news/business/real-estate/cdsl-acquires-46000-sq-ft-of-office-space-in-mumbai-for-rs-163-crore-9730621.html,"CDSL acquires 46,000 sq ft of office space in Mumbai for Rs 163 crore",Moneycontrol,"Dec 19, 2022","Central Depository Services (India) Limited, the first listed Indian 
central securities depository, has acquired two floors of more than...",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa334eacc990984536ae716af53582c4ad6710cc292236b5d24.jpeg,Fort
2,https://www.hindustantimes.com/cities/mumbai-news/hubtown-celeste-mumbai-s-luxury-developer-launches-2bhk-residences-on-330-sq-ft-carpet-area-in-worli-at-1-59-crore-101685214056285.html,"Now, you can own a compact 2BHK in Worli for ₹1.59 crore",Hindustan Times,"May 28, 2023","Hubtown group has launched its “Optimum Living” development in Mumbai’s 
Worli luxury market, offering 2BHK residences on 330 sq ft carpet area.",https://serpapi.com/searches/66afcbc3116a55a0c97c7c1e/images/3b02b7ad988f6fa3867649cc1646cfd68b80ecad5e58f1636aa6f04a39771574.jpeg,Fort
